Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
TWIN VEW,"1,470,888",818.06,"1,798",Jul-25,WEST COAST VALE,Resale,Strata,76,"19,354",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,06 to 10
AVENUE SOUTH RESIDENCE,"1,620,000",656.6,"2,467",Jul-25,SILAT AVENUE,Resale,Strata,61,"26,557",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
THE VERANDAH RESIDENCES,"940,000",462.85,"2,031",Jul-25,PASIR PANJANG ROAD,Resale,Strata,43,"21,860",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE MAYFAIR,"1,158,000",925.7,"1,251",Jul-25,JURONG EAST STREET 32,Resale,Strata,86,"13,465",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
BAYSHORE PARK,"1,228,000",936.47,"1,311",Jul-25,BAYSHORE ROAD,Resale,Strata,87,"14,115",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
THE TRILLIUM,"4,850,000","1,797.59","2,698",Jul-25,KIM SENG ROAD,Resale,Strata,167,"29,042",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
PARC MONDRIAN,"1,750,000",904.18,"1,935",Jul-25,WOODLEIGH CLOSE,Resale,Strata,84,"20,833",-,Apartment,1,Freehold,13,Rest of Central Region,11 to 15
PALM ISLES,"1,470,000","1,119.46","1,313",Jul-25,FLORA DRIVE,Resale,Strata,104,"14,135",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"2,200,000","1,065.64","2,064",Jul-25,UPPER PAYA LEBAR ROAD,Resale,Strata,99,"22,222",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
SUITES @ EASTCOAST,"705,000",376.74,"1,871",Jul-25,UPPER EAST COAST ROAD,Resale,Strata,35,"20,143",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SPRING @ KATONG,"2,900,000","1,550.02","1,871",Jul-25,CEYLON ROAD,Resale,Strata,144,"20,139",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
V ON SHENTON,"1,280,000",688.9,"1,858",Jul-25,SHENTON WAY,Resale,Strata,64,"20,000",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
THE MAYFAIR,"1,410,000","1,162.51","1,213",Jul-25,JURONG EAST STREET 32,Resale,Strata,108,"13,056",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
ONE TREE HILL RESIDENCE,"2,850,000","1,130.22","2,522",Jul-25,ONE TREE HILL,Resale,Strata,105,"27,143",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
STIRLING RESIDENCES,"2,500,000",979.52,"2,552",Jul-25,STIRLING ROAD,Resale,Strata,91,"27,473",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
D'LOTUS,"1,250,000",807.3,"1,548",Jul-25,LORONG AMPAS,Resale,Strata,75,"16,667",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
RIO VISTA,"1,600,000","1,237.86","1,293",Jul-25,UPPER SERANGOON VIEW,Resale,Strata,115,"13,913",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10
HERITAGE VIEW,"1,480,000",968.76,"1,528",Jun-25,DOVER RISE,Resale,Strata,90,"16,444",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
AZALEA PARK CONDOMINIUM,"1,560,000","1,334.74","1,169",Jun-25,FLORA ROAD,Resale,Strata,124,"12,581",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10
THE VENUE RESIDENCES,"1,518,888",850.36,"1,786",Jun-25,TAI THONG CRESCENT,Resale,Strata,79,"19,226",-,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
SEASIDE RESIDENCES,"1,910,000",785.77,"2,431",Jun-25,SIGLAP LINK,Resale,Strata,73,"26,164",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,11 to 15
MENDON SPRING,"1,490,000","1,054.87","1,412",Jun-25,PASIR PANJANG ROAD,Resale,Strata,98,"15,204",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
LE QUEST,"1,655,000",979.52,"1,690",Jun-25,BUKIT BATOK STREET 41,Resale,Strata,91,"18,187",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
EASTERN LAGOON,"2,088,888","1,270.15","1,645",Jun-25,UPPER EAST COAST ROAD,Resale,Strata,118,"17,702",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
AMARYLLIS VILLE,"2,590,000","1,237.86","2,092",Jun-25,NEWTON ROAD,Resale,Strata,115,"22,522",-,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,06 to 10
THE GLACIER,"2,200,000","1,345.5","1,635",Jun-25,JOO CHIAT PLACE,Resale,Strata,125,"17,600",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
GOODWOOD RESIDENCE,"2,950,000","1,119.46","2,635",Jun-25,BUKIT TIMAH ROAD,Resale,Strata,104,"28,365",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
HAZEL PARK CONDOMINIUM,"2,160,000","1,334.74","1,618",Jun-25,HAZEL PARK TERRACE,Resale,Strata,124,"17,419",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,11 to 15
BEDOK COURT,"2,388,000","2,411.14",990,Jun-25,BEDOK SOUTH AVENUE 3,Resale,Strata,224,"10,661",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
SYMPHONY HEIGHTS,"2,110,000","1,216.33","1,735",Jun-25,HUME AVENUE,Resale,Strata,113,"18,673",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
COSTA RHU,"2,168,000","1,334.74","1,624",Jun-25,RHU CROSS,Resale,Strata,124,"17,484",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
LAKE GRANDE,"1,310,000",775.01,"1,690",Jun-25,JURONG LAKE LINK,Resale,Strata,72,"18,194",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,01 to 05
BALMORAL HEIGHTS,"2,280,000",925.7,"2,463",Jun-25,BALMORAL CRESCENT,Resale,Strata,86,"26,512",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
SHELFORD GREEN,"5,150,000","2,841.7","1,812",Jun-25,SHELFORD ROAD,Resale,Strata,264,"19,508",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,469,888",688.9,"2,134",Jun-25,SILAT AVENUE,Resale,Strata,64,"22,967",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,16 to 20
TAIPAN REGENCY,"2,800,000","3,519.83",795,Jun-25,HAIG ROAD,Resale,Strata,327,"8,563",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"860,000",441.32,"1,949",Jun-25,SIMS DRIVE,Resale,Strata,41,"20,976",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
J GATEWAY,"1,510,000",688.9,"2,192",Jun-25,GATEWAY DRIVE,Resale,Strata,64,"23,594",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,31 to 35
LEEDON RESIDENCE,"15,800,000","8,051.47","1,962",Jun-25,LEEDON HEIGHTS,Resale,Strata,748,"21,123",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE TRILINQ,"1,750,000","1,108.69","1,578",Jun-25,JALAN LEMPENG,Resale,Strata,103,"16,990",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
ESTELLA GARDENS,"1,135,000",936.47,"1,212",Jun-25,FLORA ROAD,Resale,Strata,87,"13,046",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
SYMPHONY SUITES,"1,400,088","1,022.58","1,369",Jun-25,YISHUN CLOSE,Resale,Strata,95,"14,738",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
SOUTHAVEN II,"2,428,000","1,496.2","1,623",Jun-25,HINDHEDE WALK,Resale,Strata,139,"17,468",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"825,000",516.67,"1,597",Jun-25,HOUGANG AVENUE 7,Resale,Strata,48,"17,188",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE TAPESTRY,"999,000",602.78,"1,657",Jun-25,TAMPINES STREET 86,Resale,Strata,56,"17,839",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
M66,"805,000",516.67,"1,558",Jun-25,MOONSTONE LANE,Resale,Strata,48,"16,771",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
CAVENAGH GARDENS,"2,850,000","1,550.02","1,839",Jun-25,CAVENAGH ROAD,Resale,Strata,144,"19,792",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
WATERTOWN,"2,290,000","1,108.69","2,065",Jun-25,PUNGGOL CENTRAL,Resale,Strata,103,"22,233",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"3,080,000","1,679.18","1,834",Jun-25,HOUGANG AVENUE 2,Resale,Strata,156,"19,744",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
PARC ESTA,"1,520,000",742.72,"2,047",Jun-25,SIMS AVENUE,Resale,Strata,69,"22,029",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
MELROSE PARK,"3,530,000","1,345.5","2,624",Jun-25,KELLOCK ROAD,Resale,Strata,125,"28,240",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,06 to 10
MELVILLE PARK,"900,000",936.47,961,Jun-25,SIMEI STREET 1,Resale,Strata,87,"10,345",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"1,300,000",914.94,"1,421",Jun-25,UPPER SERANGOON VIEW,Resale,Strata,85,"15,294",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
GRANGE RESIDENCES,"9,850,000","2,852.46","3,453",Jun-25,GRANGE ROAD,Resale,Strata,265,"37,170",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
HIGH PARK RESIDENCES,"1,325,000",893.41,"1,483",Jun-25,FERNVALE ROAD,Resale,Strata,83,"15,964",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
LEVENUE,"779,000",462.85,"1,683",Jun-25,LENGKONG EMPAT,Resale,Strata,43,"18,116",-,Apartment,1,Freehold,14,Outside Central Region,06 to 10
STARLIGHT SUITES,"3,925,000","1,862.17","2,108",Jun-25,RIVER VALLEY CLOSE,Resale,Strata,173,"22,688",-,Apartment,1,Freehold,09,Core Central Region,26 to 30
THE SIXTH AVENUE RESIDENCES,"2,250,000",968.76,"2,323",Jun-25,SIXTH AVENUE,Resale,Strata,90,"25,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,788,000","1,216.33","2,292",Jun-25,TANJONG RHU ROAD,Resale,Strata,113,"24,673",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
RIVER ISLES,"1,780,000","1,227.1","1,451",Jun-25,EDGEDALE PLAINS,Resale,Strata,114,"15,614",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
RIPPLE BAY,"1,300,000",990.29,"1,313",Jun-25,PASIR RIS LINK,Resale,Strata,92,"14,130",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
QUEENS,"2,090,000","1,184.04","1,765",Jun-25,STIRLING ROAD,Resale,Strata,110,"19,000",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,31 to 35
WATERFRONT WAVES,"2,080,000","1,323.97","1,571",Jun-25,BEDOK RESERVOIR ROAD,Resale,Strata,123,"16,911",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
WHISTLER GRAND,"2,480,000","1,280.92","1,936",Jun-25,WEST COAST VALE,Resale,Strata,119,"20,840",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
REGENCY PARK,"8,305,000","3,649","2,276",Jun-25,NATHAN ROAD,Resale,Strata,339,"24,499",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,125,000",645.84,"1,742",Jun-25,UPPER PAYA LEBAR ROAD,Resale,Strata,60,"18,750",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
THE SCALA,"1,750,000",850.36,"2,058",Jun-25,SERANGOON AVENUE 3,Resale,Strata,79,"22,152",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,16 to 20
RIVER ISLES,"1,330,000",893.41,"1,489",Jun-25,EDGEDALE PLAINS,Resale,Strata,83,"16,024",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
LIV ON WILKIE,"1,170,000",527.44,"2,218",Jun-25,WILKIE TERRACE,Resale,Strata,49,"23,878",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
KING'S MANSION,"3,150,000","1,603.84","1,964",Jun-25,TANJONG KATONG ROAD,Resale,Strata,149,"21,141",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
CHANGI COURT,"1,868,000","1,388.56","1,345",Jun-25,UPPER CHANGI ROAD EAST,Resale,Strata,129,"14,481",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
DUO RESIDENCES,"1,360,000",592.02,"2,297",Jun-25,FRASER STREET,Resale,Strata,55,"24,727",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,01 to 05
10 SHELFORD,"930,000",796.54,"1,168",Jun-25,SHELFORD ROAD,Resale,Strata,74,"12,568",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
BRADDELL VIEW,"1,610,000","1,453.14","1,108",Jun-25,BRADDELL HILL,Resale,Strata,135,"11,926",-,Apartment,1,103 yrs lease commencing from 1975,20,Rest of Central Region,16 to 20
AVENUE SOUTH RESIDENCE,"1,720,000",688.9,"2,497",Jun-25,SILAT AVENUE,Resale,Strata,64,"26,875",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
MIDTOWN RESIDENCES,"746,000",484.38,"1,540",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,45,"16,578",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
THE WHARF RESIDENCE,"2,470,000","1,033.34","2,390",Jun-25,TONG WATT ROAD,Resale,Strata,96,"25,729",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
RESIDENTIAL APARTMENTS,"1,500,000","1,022.58","1,467",Jun-25,TANJONG KATONG ROAD,Resale,Strata,95,"15,789",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TEMBELING CENTRE,"3,100,000","2,152.8","1,440",Jun-25,TEMBELING ROAD,Resale,Strata,200,"15,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WAN THO LODGE,"1,750,000","1,194.8","1,465",Jun-25,WAN THO AVENUE,Resale,Strata,111,"15,766",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
MY MANHATTAN,"825,000",505.91,"1,631",Jun-25,SIMEI STREET 3,Resale,Strata,47,"17,553",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
RAFFLESIA CONDOMINIUM,"1,400,000",914.94,"1,530",Jun-25,BISHAN STREET 21,Resale,Strata,85,"16,471",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
THE LAKEFRONT RESIDENCES,"1,310,000",721.19,"1,816",Jun-25,LAKESIDE DRIVE,Resale,Strata,67,"19,552",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,06 to 10
THE MILTONIA RESIDENCES,"988,888",839.59,"1,178",Jun-25,MILTONIA CLOSE,Resale,Strata,78,"12,678",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
PARK PLACE RESIDENCES AT PLQ,"1,550,000",667.37,"2,323",Jun-25,PAYA LEBAR ROAD,Resale,Strata,62,"25,000",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10
THE QUAYSIDE,"2,150,000","1,345.5","1,598",Jun-25,ROBERTSON QUAY,Resale,Strata,125,"17,200",-,Apartment,1,99 yrs lease commencing from 1994,09,Core Central Region,01 to 05
KOPAR AT NEWTON,"1,580,000",613.55,"2,575",Jun-25,MAKEWAY AVENUE,Resale,Strata,57,"27,719",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,01 to 05
RIVERSAILS,"1,285,000",882.65,"1,456",Jun-25,UPPER SERANGOON CRESCENT,Resale,Strata,82,"15,671",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
NOVENA COURT,"1,420,000",861.12,"1,649",Jun-25,JALAN NOVENA BARAT,Resale,Strata,80,"17,750",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,700,000",936.47,"1,815",Jun-25,HOUGANG AVENUE 2,Resale,Strata,87,"19,540",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE MINTON,"1,738,000","1,087.16","1,599",Jun-25,HOUGANG STREET 11,Resale,Strata,101,"17,208",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
THE MAKENA,"3,450,000","1,636.13","2,109",Jun-25,MEYER ROAD,Resale,Strata,152,"22,697",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
WANG LODGE,"1,250,000","1,011.82","1,235",Jun-25,LORONG 4 GEYLANG,Resale,Strata,94,"13,298",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
A TREASURE TROVE,"1,468,800",914.94,"1,605",Jun-25,PUNGGOL WALK,Resale,Strata,85,"17,280",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
PALM OASIS,"1,185,000",742.72,"1,595",Jun-25,LORONG H TELOK KURAU,Resale,Strata,69,"17,174",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CHANGI COURT,"1,308,000",968.76,"1,350",Jun-25,UPPER CHANGI ROAD EAST,Resale,Strata,90,"14,533",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
ICON,"1,040,000",570.49,"1,823",Jun-25,GOPENG STREET,Resale,Strata,53,"19,623",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
ALEXIS,"1,018,888",602.78,"1,690",Jun-25,ALEXANDRA ROAD,Resale,Strata,56,"18,194",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
# 1 LOFT,"750,000",559.73,"1,340",Jun-25,LORONG 24 GEYLANG,Resale,Strata,52,"14,423",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"2,380,000","1,237.86","1,923",Jun-25,OCEAN WAY,Resale,Strata,115,"20,696",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
THE TRIZON,"4,300,000","1,894.46","2,270",Jun-25,RIDGEWOOD CLOSE,Resale,Strata,176,"24,432",-,Condominium,1,Freehold,10,Core Central Region,16 to 20
WINDY HEIGHTS,"3,550,000","2,475.72","1,434",Jun-25,JALAN DAUD,Resale,Strata,230,"15,435",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
SYMPHONY SUITES,"940,000",688.9,"1,365",Jun-25,YISHUN CLOSE,Resale,Strata,64,"14,688",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
ONE DEVONSHIRE,"3,280,000","1,270.15","2,582",Jun-25,DEVONSHIRE ROAD,Resale,Strata,118,"27,797",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
GRANDEUR 8,"1,690,000","1,227.1","1,377",Jun-25,ANG MO KIO CENTRAL 3,Resale,Strata,114,"14,825",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,01 to 05
CASA MEYA,"1,500,000",807.3,"1,858",Jun-25,MEYAPPA CHETTIAR ROAD,Resale,Strata,75,"20,000",-,Apartment,1,Freehold,13,Rest of Central Region,06 to 10
CENTRAL GREEN CONDOMINIUM,"2,430,000","1,442.38","1,685",Jun-25,JALAN MEMBINA,Resale,Strata,134,"18,134",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
PALM GARDENS,"1,322,800","1,205.57","1,097",Jun-25,HONG SAN WALK,Resale,Strata,112,"11,811",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,16 to 20
PARC STEVENS,"4,128,000","1,722.24","2,397",Jun-25,STEVENS DRIVE,Resale,Strata,160,"25,800",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
D'LEEDON,"5,600,000","4,908.38","1,141",Jun-25,LEEDON HEIGHTS,Resale,Strata,456,"12,281",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,348,000",904.18,"1,491",Jun-25,SENGKANG EAST AVENUE,Resale,Strata,84,"16,048",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
VIVA VISTA,"990,000",699.66,"1,415",Jun-25,SOUTH BUONA VISTA ROAD,Resale,Strata,65,"15,231",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
EIGHT COURTYARDS,"1,200,000",871.88,"1,376",Jun-25,CANBERRA DRIVE,Resale,Strata,81,"14,815",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,11 to 15
BULLION PARK,"1,900,000","1,237.86","1,535",Jun-25,LENTOR LOOP,Resale,Strata,115,"16,522",-,Condominium,1,Freehold,26,Outside Central Region,11 to 15
THE PROMENADE@PELIKAT,"1,188,000",968.76,"1,226",Jun-25,JALAN PELIKAT,Resale,Strata,90,"13,200",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
COCO PALMS,"808,000",462.85,"1,746",Jun-25,PASIR RIS GROVE,Resale,Strata,43,"18,791",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
THE LOFT,"3,200,000","1,345.5","2,378",Jun-25,NASSIM HILL,Resale,Strata,125,"25,600",-,Condominium,1,99 yrs lease commencing from 1999,10,Core Central Region,01 to 05
THE VERVE,"1,290,000",818.06,"1,577",Jun-25,JALAN RAJAH,Resale,Strata,76,"16,974",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
HIGH PARK RESIDENCES,"960,000",592.02,"1,622",Jun-25,FERNVALE ROAD,Resale,Strata,55,"17,455",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
FLO RESIDENCE,"1,500,000","1,011.82","1,482",Jun-25,PUNGGOL FIELD WALK,Resale,Strata,94,"15,957",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
PARC OASIS,"1,880,000","1,377.79","1,365",Jun-25,JURONG EAST AVENUE 1,Resale,Strata,128,"14,688",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,16 to 20
THE SUNNY SPRING,"1,982,000","1,194.8","1,659",Jun-25,LORONG 40 GEYLANG,Resale,Strata,111,"17,856",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
ARCHIPELAGO,"1,985,000","1,184.04","1,676",Jun-25,BEDOK RESERVOIR ROAD,Resale,Strata,110,"18,045",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
THE WISTERIA,"1,338,000",968.76,"1,381",Jun-25,YISHUN RING ROAD,Resale,Strata,90,"14,867",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
COTE D'AZUR,"2,750,000","1,280.92","2,147",Jun-25,MARINE PARADE ROAD,Resale,Strata,119,"23,109",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
RIVER PLACE,"1,250,000",678.13,"1,843",Jun-25,HAVELOCK ROAD,Resale,Strata,63,"19,841",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
NIM GARDENS,"2,750,000","2,217.38","1,240",Jun-25,NIM ROAD,Resale,Strata,206,"13,350",-,Condominium,1,Freehold,28,Outside Central Region,01 to 05
THE PANORAMA,"1,550,000",796.54,"1,946",Jun-25,ANG MO KIO AVENUE 2,Resale,Strata,74,"20,946",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10
TREESCAPE,"1,600,000","1,022.58","1,565",Jun-25,LORONG N TELOK KURAU,Resale,Strata,95,"16,842",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TANGLIN VIEW,"3,100,000","1,711.48","1,811",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,159,"19,497",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,16 to 20
TANGLIN VIEW,"2,338,000","1,140.98","2,049",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,106,"22,057",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,06 to 10
THE COTZ,"738,000",452.09,"1,632",Jun-25,TELOK KURAU ROAD,Resale,Strata,42,"17,571",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ESTELLA GARDENS,"1,140,000",936.47,"1,217",Jun-25,FLORA ROAD,Resale,Strata,87,"13,103",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
COMMONWEALTH TOWERS,"2,180,000",904.18,"2,411",Jun-25,COMMONWEALTH AVENUE,Resale,Strata,84,"25,952",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
THE TRILINQ,"2,360,000","1,345.5","1,754",Jun-25,JALAN LEMPENG,Resale,Strata,125,"18,880",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
COCO PALMS,"1,250,000",753.48,"1,659",Jun-25,PASIR RIS GROVE,Resale,Strata,70,"17,857",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
REGENT HEIGHTS,"950,000","1,022.58",929,Jun-25,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95,"10,000",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,938,000","1,033.34","1,875",Jun-25,TAMPINES LANE,Resale,Strata,96,"20,188",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
FLO RESIDENCE,"1,390,000",936.47,"1,484",Jun-25,PUNGGOL FIELD WALK,Resale,Strata,87,"15,977",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
WATERBANK AT DAKOTA,"928,888",484.38,"1,918",Jun-25,DAKOTA CRESCENT,Resale,Strata,45,"20,642",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,16 to 20
LAKE GRANDE,"1,420,000",775.01,"1,832",Jun-25,JURONG LAKE LINK,Resale,Strata,72,"19,722",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,11 to 15
TREASURE AT TAMPINES,"2,380,000","1,237.86","1,923",Jun-25,TAMPINES LANE,Resale,Strata,115,"20,696",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
